supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day,month,year
tuskys,4,1,680,1670,970,cash,no,no,no,yes,no,no,no,22/05/2017,yes,13:32,afternoon,chain,donholm,mid,monday,weekday,no,22,5,2017
tuskys,9,3,1245,1500,255,cash,yes,no,no,yes,no,yes,no,22/05/2017,yes,10:51,morning,chain,donholm,mid,monday,weekday,no,22,5,2017
naivas,1,1,800,1000,200,cash,no,no,yes,no,yes,no,no,20/05/2017,no,19:37,night,chain,umoja,mid,saturday,weekend,no,20,5,2017
naivas,1,1,95,100,5,cash,no,no,yes,no,no,no,no,19/05/2017,no,20:10,night,chain,umoja,mid,friday,weekday,no,19,5,2017
naivas,6,2,736,1000,263,cash,yes,no,yes,yes,no,no,no,21/05/2017,no,12:07,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017
naivas,1,1,58,70,12,cash,no,no,yes,no,no,no,no,19/05/2017,no,15:16,afternoon,chain,umoja,mid,friday,weekday,no,19,5,2017
naivas,10,4,2903,2903,0,mpesa,yes,no,yes,yes,yes,yes,no,21/05/2017,no,14:21,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017
naivas,7,2,961,1000,38,cash,yes,yes,yes,no,no,no,no,12/05/2017,no,15:46,afternoon,chain,umoja,mid,friday,weekday,no,12,5,2017
naivas,9,2,907,1000,93,cash,yes,yes,yes,yes,yes,no,no,17/05/2017,no,20:27,night,chain,umoja,mid,wednesday,weekday,no,17,5,2017
naivas,2,1,202,205,3,cash,yes,no,no,no,no,no,no,22/05/2017,no,14:36,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017
naivas,3,1,35,50,15,cash,no,yes,no,no,no,no,no,14/05/2017,no,18:12,afternoon,chain,umoja,mid,sunday,weekend,no,14,5,2017
naivas,1,1,45,1000,955,cash,no,no,yes,no,no,no,no,22/05/2017,no,12:23,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017
naivas,1,1,360,1000,640,cash,yes,no,no,no,no,no,no,22/05/2017,no,14:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017
naivas,4,2,321,325,4,cash,yes,no,yes,no,no,no,no,21/05/2017,no,19:54,night,chain,umoja,mid,sunday,weekend,no,21,5,2017
naivas,2,1,253,1000,747,cash,yes,no,no,no,no,no,no,19/05/2017,no,15:50,afternoon,chain,umoja,mid,friday,weekday,no,19,5,2017
naivas,3,2,345,400,55,cash,yes,yes,yes,no,no,no,no,19/05/2017,no,19:42,night,chain,umoja,mid,friday,weekday,no,19,5,2017
naivas,1,1,60,1000,940,cash,no,no,no,yes,no,no,no,21/05/2017,no,17:54,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017
acacia,1,1,35,35,0,cash,no,no,no,yes,no,no,no,22/05/2017,no,14:01,afternoon,small,saika,mid,monday,weekday,no,22,5,2017
naivas,2,2,164,200,36,cash,no,yes,yes,no,no,no,no,21/05/2017,no,16:53,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017
naivas,4,2,367,1000,633,cash,yes,no,yes,no,no,no,no,22/05/2017,no,14:26,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017
naivas,2,1,330,500,170,cash,yes,no,no,no,no,no,no,21/05/2017,no,18:15,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017
acacia,1,1,5,5,0,cash,no,yes,no,no,no,no,no,21/05/2017,no,15:51,afternoon,small,saika,mid,sunday,weekend,no,21,5,2017
naivas,2,2,239,500,261,cash,yes,no,yes,no,no,no,no,17/05/2017,no,18:14,afternoon,chain,umoja,mid,wednesday,weekday,no,17,5,2017
tuskys,3,1,638,650,14,cash,no,no,no,yes,no,no,no,21/05/2017,yes,16:01,afternoon,chain,donholm,mid,sunday,weekend,no,21,5,2017
tuskys,3,1,720,1000,280,cash,no,no,no,no,yes,yes,no,19/05/2017,yes,12:06,afternoon,chain,donholm,mid,friday,weekday,no,19,5,2017
tuskys,3,2,357,400,43,cash,yes,yes,no,no,no,no,no,21/05/2017,yes,10:07,morning,chain,donholm,mid,sunday,weekend,no,21,5,2017
tuskys,3,2,412,500,88,cash,yes,no,no,yes,no,no,no,20/05/2017,yes,12:56,afternoon,chain,donholm,mid,saturday,weekend,no,20,5,2017
tuskys,1,1,350,350,0,cash,no,no,no,yes,yes,no,no,08/05/2017,yes,15:49,afternoon,chain,donholm,mid,monday,weekday,no,8,5,2017
tuskys,4,1,199,200,1,cash,no,no,no,no,no,yes,no,21/05/2017,yes,18:50,afternoon,chain,donholm,mid,sunday,weekend,no,21,5,2017
tuskys,1,1,46,50,4,cash,yes,no,no,no,no,no,no,16/05/2017,yes,12:48,afternoon,chain,donholm,mid,tuesday,weekday,no,16,5,2017
tuskys,7,4,542,1000,458,cash,yes,yes,yes,no,no,yes,no,21/05/2017,yes,20:41,night,chain,donholm,mid,sunday,weekend,no,21,5,2017
tuskys,2,1,110,110,0,cash,yes,no,no,no,no,yes,no,14/05/2017,yes,8:53,morning,chain,donholm,mid,sunday,weekend,no,14,5,2017
kamindi,1,1,45,100,55,cash,no,no,no,yes,no,no,no,17/05/2017,no,14:37,afternoon,small,donholm,mid,wednesday,weekday,no,17,5,2017
tuskys,2,2,260,270,10,cash,no,no,yes,no,no,yes,no,21/05/2017,yes,17:50,afternoon,chain,donholm,mid,sunday,weekend,no,21,5,2017
kamindi,1,1,120,500,380,cash,no,no,no,no,no,yes,no,19/05/2017,no,16:09,afternoon,small,donholm,mid,friday,weekday,no,19,5,2017
kamindi,1,1,1900,2000,100,cash,no,no,no,yes,yes,no,no,19/05/2017,no,16:09,afternoon,small,donholm,mid,friday,weekday,no,19,5,2017
tuskys,2,1,223,1000,777,cash,yes,no,no,no,no,no,no,13/05/2017,yes,19:50,night,chain,donholm,mid,saturday,weekend,no,13,5,2017
tuskys,5,3,220,300,80,cash,yes,yes,yes,no,no,no,no,18/05/2017,yes,10:58,morning,chain,donholm,mid,thursday,weekday,no,18,5,2017
tuskys,2,1,351,400,49,cash,no,no,no,yes,no,no,no,16/05/2017,yes,11:36,morning,chain,donholm,mid,tuesday,weekday,no,16,5,2017
tuskys,8,1,416,500,84,cash,yes,no,no,no,no,no,no,20/05/2017,yes,20:28,night,chain,donholm,mid,saturday,weekend,no,20,5,2017
tuskys,2,1,119,200,81,cash,yes,no,no,no,no,no,no,20/05/2017,yes,16:26,afternoon,chain,donholm,mid,saturday,weekend,no,20,5,2017
tuskys,1,1,95,95,0,cash,yes,no,no,no,no,no,no,16/05/2017,yes,18:31,afternoon,chain,donholm,mid,tuesday,weekday,no,16,5,2017
acacia,3,2,580,1000,420,cash,yes,no,no,yes,no,no,no,22/05/2017,no,15:07,afternoon,small,saika,mid,monday,weekday,no,22,5,2017
nakumatt,14,3,2183,2183,0,card,yes,yes,no,no,yes,no,no,15/01/2017,no,18:16,afternoon,chain,cbd,mid,sunday,weekend,yes,15,1,2017
nakumatt,1,1,60,200,140,cash,no,no,no,yes,no,no,no,24/01/2017,yes,10:50,morning,chain,kilimani,high,tuesday,weekday,no,24,1,2017
nakumatt,2,1,360,500,140,cash,no,yes,no,no,yes,no,no,19/01/2017,no,22:41,night,chain,cbd,mid,thursday,weekday,yes,19,1,2017
nakumatt,13,2,2657,3000,343,cash,yes,yes,no,no,no,no,no,19/01/2017,yes,20:53,night,chain,kilimani,high,thursday,weekday,no,19,1,2017
nakumatt,2,1,136,200,64,cash,yes,no,no,no,no,no,no,26/05/2017,yes,13:35,night,chain,kilimani,high,friday,weekday,no,26,5,2017
nakumatt,2,2,1724,2000,276,cash,yes,yes,no,no,no,no,no,23/05/2017,yes,12:26,afternoon,chain,kilimani,high,tuesday,weekday,no,23,5,2017
tuskys,1,1,29,29,0,cash,no,yes,no,no,no,no,no,25/05/2017,no,19:35,night,chain,cbd,mid,thursday,weekday,no,25,5,2017
karrymart,5,2,200,200,0,cash,yes,yes,no,no,no,no,no,23/05/2017,no,6:09,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,55,100,45,cash,yes,no,no,no,no,no,no,23/05/2017,no,7:08,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,3,3,340,500,160,cash,yes,yes,yes,no,no,no,no,23/05/2017,no,20:28,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,71,75,4,cash,yes,no,no,no,no,no,no,23/05/2017,no,7:38,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,35,100,65,cash,no,yes,no,no,no,no,no,23/05/2017,no,12:24,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,70,500,430,cash,yes,no,no,no,no,no,no,23/05/2017,no,6:42,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,1,70,100,30,cash,no,yes,no,no,no,no,no,23/05/2017,no,14:28,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,50,100,50,cash,yes,no,no,no,no,no,no,23/05/2017,no,5:54,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,2,120,200,80,cash,yes,no,yes,no,no,no,no,23/05/2017,no,14:32,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,102,105,3,cash,yes,no,no,no,no,no,no,23/05/2017,no,6:25,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,60,100,40,cash,no,yes,no,no,no,no,no,23/05/2017,no,5:41,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,1,155,200,45,cash,yes,no,no,no,no,no,no,23/05/2017,no,5:40,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,2,100,200,100,cash,yes,yes,no,no,no,no,no,23/05/2017,no,6:13,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,25,100,75,cash,no,no,yes,no,no,no,no,23/05/2017,no,6:38,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,1,100,200,100,cash,no,yes,no,no,no,no,no,23/05/2017,no,18:44,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,60,100,40,cash,no,yes,no,no,no,no,no,23/05/2017,no,5:57,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,1,88,100,12,cash,no,yes,no,no,no,no,no,23/05/2017,no,7:34,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,60,100,40,cash,no,yes,no,no,no,no,no,23/05/2017,no,6:58,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,3,3,245,1000,755,cash,yes,yes,yes,no,no,no,no,23/05/2017,no,18:46,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,50,50,0,cash,no,no,yes,no,no,no,no,23/05/2017,no,19:14,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,80,100,20,cash,no,yes,no,no,no,no,no,23/05/2017,no,21:01,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,40,50,10,cash,no,yes,no,no,no,no,no,23/05/2017,no,12:22,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,40,40,0,cash,no,yes,no,no,no,no,no,23/05/2017,no,6:48,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,3,2,125,125,0,cash,no,yes,yes,no,no,no,no,23/05/2017,no,19:50,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,2,180,200,20,cash,yes,yes,no,no,no,no,no,23/05/2017,no,20:44,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,85,100,15,cash,no,yes,no,no,no,no,no,23/05/2017,no,10:08,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
nakumatt,6,3,3585,3585,0,mpesa,no,yes,yes,no,no,yes,yes,10/03/2017,no,16:30,afternoon,chain,eldoret,mid,friday,weekday,no,10,3,2017
karrymart,1,1,50,200,150,cash,no,no,yes,no,no,no,no,23/05/2017,no,14:34,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,2,475,500,25,cash,yes,no,yes,no,no,no,no,23/05/2017,no,10:21,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,70,100,30,cash,no,yes,no,no,no,no,no,23/05/2017,no,11:11,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,60,100,40,cash,no,yes,no,no,no,no,no,23/05/2017,no,8:24,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,60,100,40,cash,no,no,yes,no,no,no,no,23/05/2017,no,12:42,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,150,150,0,cash,yes,no,no,no,no,no,no,23/05/2017,no,13:21,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,1,60,100,40,cash,yes,no,no,no,no,no,no,23/05/2017,no,14:26,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,1,100,100,0,cash,no,yes,no,no,no,no,no,23/05/2017,no,19:24,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,35,100,65,cash,no,yes,no,no,no,no,no,23/05/2017,no,11:41,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,25,100,75,cash,no,no,no,yes,no,no,no,23/05/2017,no,9:36,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,5,3,350,500,150,cash,yes,yes,yes,no,no,no,no,23/05/2017,no,9:25,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
nakumatt,1,1,196,100,804,cash,no,yes,no,no,no,no,no,26/05/2017,yes,15:52,afternoon,chain,kilimani,high,friday,weekday,no,26,5,2017
karrymart,2,1,100,100,0,cash,no,yes,no,no,no,no,no,23/05/2017,no,10:21,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,1,120,120,0,cash,no,yes,no,no,no,no,no,23/05/2017,no,11:36,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,77,500,423,cash,no,yes,no,no,no,no,no,23/05/2017,no,8:07,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,2,2,100,200,100,cash,no,yes,yes,no,no,no,no,23/05/2017,no,16:35,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017
karrymart,1,1,20,20,0,cash,no,no,no,yes,no,no,no,23/05/2017,no,5:42,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017
ukwala,1,1,425,450,25,cash,no,no,no,no,yes,yes,no,31/05/2017,no,09:35,morning,chain,cbd,mid,wednesday,weekday,no,31,5,2017
nakumatt,1,1,530,600,70,cash,no,yes,no,no,yes,no,no,26/05/2017,yes,11:02,morning,chain,kilimani,high,friday,weekday,no,26,5,2017
nakumatt,5,3,385,385,0,cash,yes,yes,no,yes,no,no,no,01/06/2017,yes,17:36,afternoon,chain,kilimani,high,thursday,weekday,no,1,6,2017
nakumatt,2,2,188,1000,812,cash,yes,no,no,yes,no,no,no,21/05/2017,yes,14:25,afternoon,chain,kilimani,high,sunday,weekend,no,21,5,2017
nakumatt,1,1,190,200,10,cash,yes,no,no,no,no,no,no,01/06/2017,yes,17:11,afternoon,chain,kilimani,high,thursday,weekday,no,1,6,2017
ukwala,1,1,86,200,114,cash,yes,no,no,no,no,no,no,30/05/2017,no,15:22,afternoon,median,cbd,mid,tuesday,weekday,no,30,5,2017
nakumatt,3,2,142,150,8,cash,no,yes,yes,no,no,no,no,01/06/2017,yes,16:59,afternoon,chain,kilimani,high,thursday,weekday,no,1,6,2017
ukwala,1,1,77,100,23,cash,no,no,yes,no,no,no,no,01/06/2017,no,14:41,afternoon,median,cbd,mid,thursday,weekday,no,1,6,2017
ukwala,1,1,35,112,77,cash,no,no,no,no,no,yes,no,01/06/2017,no,14:17,afternoon,median,cbd,mid,thursday,weekday,no,1,6,2017
neema,2,1,390,1000,610,cash,no,no,no,yes,no,no,no,01/06/2017,no,14:25,afternoon,small,cbd,mid,thursday,weekday,no,1,6,2017
nakumatt,1,1,99,1000,901,cash,no,no,yes,no,no,no,no,02/06/2017,no,13:31,afternoon,chain,cbd,mid,friday,weekday,yes,2,6,2017
uchumi,1,1,100,200,100,cash,yes,no,no,no,no,no,no,02/06/2017,no,09:19,morning,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,2,2,140,140,0,mpesa,yes,no,yes,no,no,no,no,02/06/2017,no,18:22,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
uchumi,2,1,98,200,102,cash,yes,no,no,no,no,no,no,02/06/2017,no,15:11,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
ukwala,1,1,80,100,20,cash,no,no,no,yes,no,no,no,01/06/2017,no,19:31,night,median,cbd,mid,thursday,weekday,no,1,6,2017
tuskys,1,1,470,500,30,cash,no,no,no,yes,yes,no,no,02/06/2017,no,18:59,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,3,3,103,1000,897,cash,yes,yes,yes,no,no,no,no,02/06/2017,no,13:55,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,2,1,150,500,350,cash,no,yes,no,no,no,no,no,02/06/2017,no,18:36,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
karrymart,1,1,5,20,15,cash,no,no,no,no,no,yes,no,02/06/2017,no,17:25,afternoon,small,cbd,mid,friday,weekday,yes,2,6,2017
karrymart,1,1,60,100,40,cash,no,no,yes,no,no,no,no,02/06/2017,no,18:21,afternoon,small,cbd,mid,friday,weekday,yes,2,6,2017
karrymart,1,1,60,100,40,cash,no,no,yes,no,no,no,no,02/06/2017,no,17:26,afternoon,small,cbd,mid,friday,weekday,yes,2,6,2017
tuskys,1,1,95,1000,905,cash,no,no,no,yes,yes,no,no,01/06/2017,no,17:27,afternoon,chain,cbd,mid,thursday,weekday,no,1,6,2017
tuskys,8,3,600,600,0,cash,yes,yes,yes,no,no,no,no,02/06/2017,no,10:23,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,2,2,95,100,5,cash,no,yes,yes,no,no,no,no,02/06/2017,no,10:29,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
nakumatt,1,1,75,200,125,cash,no,no,yes,no,no,no,no,02/06/2017,no,17:31,afternoon,chain,cbd,mid,friday,weekday,yes,2,6,2017
nakumatt,2,2,212,212,0,card,yes,yes,no,no,no,no,no,02/06/2017,no,15:02,afternoon,chain,cbd,mid,friday,weekday,yes,2,6,2017
tuskys,2,1,180,500,320,cash,yes,no,no,no,no,no,no,17/05/2017,no,11:52,morning,chain,cbd,mid,saturday,weekend,no,17,5,2017
tuskys,1,1,42,200,158,cash,no,no,yes,no,no,no,no,31/05/2017,no,20:43,night,chain,cbd,mid,wednesday,weekday,no,31,5,2017
tuskys,2,2,203,500,297,cash,yes,no,no,no,no,yes,no,02/06/2017,no,10:02,morning,chain,cbd,mid,friday,weekday,no,2,6,2017
nakumatt,2,1,120,200,80,cash,no,no,yes,no,no,no,no,02/06/2017,no,16:13,afternoon,chain,cbd,mid,friday,weekday,yes,2,6,2017
nakumatt,2,2,172,200,28,cash,yes,yes,no,no,no,no,no,02/06/2017,no,18:43,afternoon,chain,cbd,mid,friday,weekday,yes,2,6,2017
tuskys,2,1,98,100,2,cash,no,no,no,no,no,no,yes,02/06/2017,no,18:22,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
nakumatt,4,3,342,500,158,cash,yes,no,no,yes,yes,no,no,02/06/2017,no,18:30,afternoon,chain,cbd,mid,friday,weekday,yes,2,6,2017
tuskys,4,3,300,300,0,cash,no,yes,yes,yes,no,no,no,02/06/2017,no,11:08,morning,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,1,1,60,100,40,cash,no,no,no,no,no,yes,no,02/06/2017,no,16:39,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
nakumatt,1,1,65,500,435,cash,no,no,yes,no,no,no,no,02/06/2017,no,17:38,afternoon,chain,cbd,mid,friday,weekday,yes,2,6,2017
nakumatt,1,1,70,100,30,cash,no,no,yes,no,no,no,no,31/05/2017,no,21:47,night,chain,cbd,mid,wednesday,weekday,yes,31,5,2017
eastmatt,10,1,480,100,520,cash,yes,no,no,no,no,no,no,02/06/2017,no,13:52,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
uchumi,1,1,100,1000,900,cash,no,no,yes,no,no,no,no,02/06/2017,no,15:01,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,3,1,270,300,30,cash,yes,no,no,no,no,no,no,02/06/2017,no,14:12,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,3,2,430,1000,570,cash,yes,yes,no,no,yes,no,no,02/06/2017,no,14:40,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,2,1,48,50,2,cash,no,no,yes,no,no,no,no,02/06/2017,no,14:23,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
uchumi,1,1,25,25,0,cash,yes,no,no,no,no,no,no,02/06/2017,no,07:35,morning,chain,cbd,mid,friday,weekday,no,2,6,2017
karrymart,1,1,95,100,5,cash,no,no,yes,no,no,no,no,02/06/2017,no,14:34,afternoon,small,cbd,mid,friday,weekday,yes,2,6,2017
karrymart,1,1,60,1000,940,cash,no,yes,no,no,no,no,no,02/06/2017,no,08:59,morning,small,cbd,mid,friday,weekday,yes,2,6,2017
karrymart,1,1,35,100,65,cash,no,no,no,no,no,yes,no,01/06/2017,no,13:33,afternoon,small,cbd,mid,thursday,weekday,yes,1,6,2017
eastmatt,2,2,186,1000,814,cash,yes,yes,no,no,no,no,no,02/06/2017,no,09:14,morning,median,cbd,mid,friday,weekday,no,2,6,2017
ukwala,4,2,390,100,610,cash,no,no,yes,yes,yes,no,no,02/06/2017,no,14:13,afternoon,median,cbd,mid,friday,weekday,no,2,6,2017
eastmatt,2,1,147,200,53,cash,yes,no,no,no,no,no,no,02/06/2017,no,12:56,afternoon,median,cbd,mid,friday,weekday,no,2,6,2017
ukwala,1,1,60,100,40,cash,no,no,yes,no,no,no,no,02/06/2017,no,14:02,afternoon,median,cbd,mid,friday,weekday,no,2,6,2017
tuskys,6,2,380,500,120,cash,no,yes,yes,no,yes,no,no,02/06/2017,no,14:18,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,2,2,44,50,6,cash,no,yes,yes,no,no,no,no,02/06/2017,no,14:50,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,3,1,165,200,35,cash,no,no,yes,no,no,no,no,02/06/2017,no,14:44,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,5,2,927,1000,73,cash,yes,yes,no,no,no,no,no,02/06/2017,no,08:48,morning,chain,cbd,mid,friday,weekday,no,2,6,2017
tuskys,2,2,149,206,57,cash,yes,no,yes,no,no,no,no,02/06/2017,no,15:49,afternoon,chain,cbd,mid,friday,weekday,no,2,6,2017
eastmatt,10,3,1273,1300,27,cash,yes,yes,no,yes,no,no,no,02/06/2017,no,13:06,afternoon,median,cbd,mid,friday,weekday,no,2,6,2017
ukwala,1,1,30,50,20,cash,no,no,no,no,no,yes,no,02/06/2017,no,14:37,afternoon,median,cbd,mid,friday,weekday,no,2,6,2017
ukwala,2,2,177,200,23,cash,no,yes,yes,no,no,no,no,02/06/2017,no,12:52,afternoon,median,cbd,mid,friday,weekday,no,2,6,2017
